entidad,frecuencia,porcentaje
CIUDAD DE MÉXICO,5365301,30.99
MÉXICO,1824335,10.54
GUANAJUATO,744218,4.3
NUEVO LEÓN,662123,3.82
TABASCO,590412,3.41
VERACRUZ DE IGNACIO DE LA LLAVE,583308,3.37
JALISCO,579398,3.35
SAN LUIS POTOSÍ,558767,3.23
PUEBLA,488672,2.82
SINALOA,428922,2.48
COAHUILA DE ZARAGOZA,426986,2.47
MICHOACÁN DE OCAMPO,397946,2.3
TAMAULIPAS,360269,2.08
SONORA,353288,2.04
GUERRERO,343736,1.99
OAXACA,322767,1.86
YUCATÁN,305227,1.76
MORELOS,288379,1.67
CHIAPAS,269957,1.56
CHIHUAHUA,250021,1.44
HIDALGO,230168,1.33
QUERÉTARO,224417,1.3
BAJA CALIFORNIA,220747,1.28
AGUASCALIENTES,201671,1.16
DURANGO,201556,1.16
BAJA CALIFORNIA SUR,194006,1.12
ZACATECAS,174000,1.01
NAYARIT,136830,0.79
TLAXCALA,134893,0.78
DESCONOCIDO,124801,0.72
QUINTANA ROO,114783,0.66
CAMPECHE,104810,0.61
COLIMA,104285,0.6
NO ESPECIFICADO,20,0.0
