entidad,frecuencia,porcentaje
CIUDAD DE MÉXICO,6349606,36.68
MÉXICO,1055148,6.1
NUEVO LEÓN,771478,4.46
GUANAJUATO,739181,4.27
TABASCO,587510,3.39
SAN LUIS POTOSÍ,587495,3.39
JALISCO,564813,3.26
PUEBLA,426193,2.46
COAHUILA DE ZARAGOZA,420859,2.43
VERACRUZ DE IGNACIO DE LA LLAVE,382839,2.21
SINALOA,373808,2.16
BAJA CALIFORNIA,370074,2.14
TAMAULIPAS,369888,2.14
SONORA,364365,2.1
MORELOS,328351,1.9
MICHOACÁN DE OCAMPO,323476,1.87
QUERÉTARO,318891,1.84
BAJA CALIFORNIA SUR,299274,1.73
YUCATÁN,291259,1.68
CHIHUAHUA,262461,1.52
GUERRERO,235236,1.36
OAXACA,231943,1.34
QUINTANA ROO,212778,1.23
AGUASCALIENTES,211513,1.22
CHIAPAS,205768,1.19
HIDALGO,200875,1.16
DURANGO,179392,1.04
ZACATECAS,157384,0.91
NAYARIT,133257,0.77
COLIMA,124317,0.72
TLAXCALA,123251,0.71
CAMPECHE,108336,0.63
